fecha,nivel,sil,snd,aisp
2021-06-16 08:10:00,0.0637,0.0,0.0,0.0
2021-06-16 08:20:00,0.0664,0.0,0.0,0.0
2021-06-16 08:30:00,0.066,0.0,0.0,0.0
2021-06-16 08:40:00,0.0645,0.0,0.0,0.0
2021-06-16 08:50:00,0.0662,0.0,0.0,0.0
2021-06-16 09:00:00,0.0668,0.0,0.0,0.0
2021-06-16 09:10:00,0.067,0.0,0.0,0.0
2021-06-16 09:20:00,0.0703,0.0,0.0,0.0
2021-06-16 09:30:00,0.0705,0.0,0.0,0.0
2021-06-16 09:40:00,0.0721,0.0,0.0,0.0
2021-06-16 09:50:00,0.0717,0.0,0.0,0.0
2021-06-16 10:00:00,0.0739,0.0,0.0,0.0
2021-06-16 10:10:00,0.0772,0.0,0.0,0.0
2021-06-16 10:20:00,0.0788,0.0,0.0,0.0
2021-06-16 10:30:00,0.0801,0.0,0.0,0.0
2021-06-16 10:40:00,0.0815,0.0,0.0,0.0
2021-06-16 10:50:00,0.0874,0.0,0.0,0.0
2021-06-16 11:00:00,0.0899,0.0,0.0,0.0
2021-06-16 11:10:00,0.0902,0.0,0.0,0.0
2021-06-16 11:20:00,0.0945,0.0,0.0,0.0
2021-06-16 11:30:00,0.0997,0.0,0.0,0.0
2021-06-16 11:40:00,0.0978,0.0,0.0,0.0
2021-06-16 11:50:00,0.0983,0.0,0.0,0.0
2021-06-16 12:00:00,0.1006,0.0,0.0,0.0
2021-06-16 12:10:00,0.0992,0.0,0.0,0.0
2021-06-16 12:20:00,0.1025,0.0,0.0,0.0
2021-06-16 12:30:00,0.1028,0.0,0.0,0.0
2021-06-16 12:40:00,0.1014,0.0,0.0,0.0
2021-06-16 12:50:00,0.1038,0.0,0.0,0.0
2021-06-16 13:00:00,0.1024,0.0,0.0,0.0
2021-06-16 13:10:00,0.1001,0.0,0.0,0.0
2021-06-16 13:20:00,0.1009,0.0,0.0,0.0
2021-06-16 13:30:00,0.103,0.0,0.0,0.0
2021-06-16 13:40:00,0.1026,0.0,0.0,0.0
2021-06-16 13:50:00,0.1052,0.0,0.0,0.0
2021-06-16 14:00:00,0.1059,0.0,0.0,0.0
2021-06-16 14:10:00,0.1033,0.0,0.0,0.0
2021-06-16 14:20:00,0.1078,0.0,0.0,0.0
2021-06-16 14:30:00,0.1066,0.0,0.0,0.0
2021-06-16 14:40:00,0.1063,0.0,0.0,0.0
2021-06-16 14:50:00,0.1067,0.0,0.0,0.0
2021-06-16 15:00:00,0.1034,0.0,0.0,0.0
2021-06-16 15:10:00,0.1054,0.0,0.0,0.0
2021-06-16 15:20:00,0.1049,0.0,0.0,0.0
2021-06-16 15:30:00,0.1049,0.0,0.0,0.0
2021-06-16 15:40:00,0.1063,0.0,0.0,0.0
2021-06-16 15:50:00,0.1033,0.0,0.0,0.0
2021-06-16 16:00:00,0.1059,0.0,0.0,0.0
2021-06-16 16:10:00,0.1043,0.0,0.0,0.0
2021-06-16 16:20:00,0.1071,0.0,0.0,0.0
2021-06-16 16:30:00,0.1039,0.0,0.0,0.0
2021-06-16 16:40:00,0.1066,0.0,0.0,0.0
2021-06-16 16:50:00,0.1049,0.0,0.0,0.0
2021-06-16 17:00:00,0.102,0.0,0.0,0.0
2021-06-16 17:10:00,0.0994,0.0,0.0,0.0
2021-06-16 17:20:00,0.1012,0.0,0.0,0.0
2021-06-16 17:30:00,0.1004,0.0,0.0,0.0
2021-06-16 17:40:00,0.1004,0.0,0.0,0.0
2021-06-16 17:50:00,0.0984,0.0,0.0,0.0
2021-06-16 18:00:00,0.0971,0.0,0.0,0.0
2021-06-16 18:10:00,0.0995,0.0,0.0,0.0
2021-06-16 18:20:00,0.1002,0.0,0.0,0.0
2021-06-16 18:30:00,0.0968,0.0,0.0,0.0
2021-06-16 18:40:00,0.0979,0.0,0.0,0.0
2021-06-16 18:50:00,0.0981,0.0,0.0,0.0
2021-06-16 19:00:00,0.096,0.0,0.0,0.0
2021-06-16 19:10:00,0.097,0.0,0.0,0.0
2021-06-16 19:20:00,0.0966,0.0,0.0,0.0
2021-06-16 19:30:00,0.096,0.0,0.0,0.0
2021-06-16 19:40:00,0.0961,0.0,0.0,0.0
2021-06-16 19:50:00,0.0961,0.0,0.0,0.0
2021-06-16 20:00:00,0.0963,0.0,0.0,0.0
2021-06-16 20:10:00,0.0951,0.0,0.0,0.0
2021-06-16 20:20:00,0.0957,0.0,0.0,0.0
2021-06-16 20:30:00,0.0941,0.0,0.0,0.0
2021-06-16 20:40:00,0.0928,0.0,0.0,0.0
2021-06-16 20:50:00,0.0945,0.0,0.0,0.0
2021-06-16 21:00:00,0.0959,0.0,0.0,0.0
2021-06-16 21:10:00,0.0966,0.0,0.0,0.0
2021-06-16 21:20:00,0.0954,0.0,0.0,0.0
2021-06-16 21:30:00,0.0974,0.0,0.0,0.0
2021-06-16 21:40:00,0.0932,0.0,0.0,0.0
2021-06-16 21:50:00,0.0949,0.0,0.0,0.0
2021-06-16 22:00:00,0.0965,0.0,0.0,0.0
